bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
07:20,-50.0,75,07:20,-140.0,-60.0,-20.0
10:20,-150.0,22,10:20,-180.0,-90.0,-10.0
11:00,-100.0,37,11:00,-190.0,-100.0,-10.0
12:00,-230.0,5,12:00,-210.0,-100.0,4.0
08:00,-20.0,52,08:00,-160.0,-70.0,-20.0
12:50,-60.0,6,12:50,-200.0,-100.0,10.0
08:20,-20.0,61,08:20,-165.0,-80.0,-20.0
13:10,-130.0,7,13:10,-180.0,-90.0,-20.0
14:30,-240.0,3,14:30,-190.0,-90.0,26.0
12:00,-200.0,3,12:00,-210.0,-100.0,4.0
10:00,-50.0,56,10:00,-170.0,-90.0,-10.0
14:20,90.0,1,14:20,-179.0,-90.0,30.0
11:30,-20.0,10,11:30,-190.0,-100.0,-10.0
06:10,-100.0,4,06:10,-90.0,-40.0,-20.0
07:20,-90.0,52,07:20,-140.0,-60.0,-20.0
08:30,-220.0,4,08:30,-160.0,-80.0,-20.0
11:00,-130.0,25,11:00,-190.0,-100.0,-10.0
07:00,-120.0,13,07:00,-130.0,-60.0,-20.0
10:40,-170.0,6,10:40,-180.0,-100.0,-24.0
08:50,60.0,2,08:50,-160.0,-80.0,-20.0
05:30,-20.0,7,05:30,-58.0,-30.0,-10.0
12:10,0.0,6,12:10,-190.0,-100.0,-10.0
08:30,-80.0,91,08:30,-160.0,-80.0,-20.0
07:40,-240.0,18,07:40,-140.0,-70.0,-20.0
05:50,-20.0,13,05:50,-72.0,-30.0,-18.0
13:20,-110.0,4,13:20,-188.0,-70.0,70.0
09:10,-30.0,39,09:10,-180.0,-90.0,-20.0
10:50,0.0,11,10:50,-180.0,-90.0,-10.0
10:50,-60.0,43,10:50,-180.0,-90.0,-10.0
09:50,-210.0,17,09:50,-180.0,-80.0,-20.0
05:50,-10.0,7,05:50,-72.0,-30.0,-18.0
15:00,-90.0,2,15:00,-130.0,-55.0,77.0
08:00,-170.0,20,08:00,-160.0,-70.0,-20.0
09:40,-10.0,30,09:40,-170.0,-90.0,-20.0
07:10,-80.0,43,07:10,-130.0,-60.0,-30.0
