bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
07:30,-210,4,07:30,-140,-70,-20
08:50,-120,65,08:50,-160,-80,-20
07:30,-260,2,07:30,-140,-70,-20
10:10,-160,22,10:10,-180,-90,-20
13:10,-30,7,13:10,-180,-90,-20
17:00,-150,1,17:00,-108,-20,360
07:20,-90,52,07:20,-140,-60,-20
07:10,-210,2,07:10,-130,-60,-30
15:40,-120,1,15:40,-188,-105,9
09:10,20,11,09:10,-180,-90,-20
09:10,-10,28,09:10,-180,-90,-20
11:40,150,2,11:40,-190,-100,-10
07:30,-190,7,07:30,-140,-70,-20
10:00,-80,59,10:00,-170,-90,-10
08:00,0,15,08:00,-160,-70,-20
08:50,-300,1,08:50,-160,-80,-20
09:20,-340,3,09:20,-180,-90,-20
05:20,-30,4,05:20,-100,-30,-20
06:50,-10,20,06:50,-120,-60,-20
09:40,-60,43,09:40,-170,-90,-20
10:00,-20,25,10:00,-170,-90,-10
08:40,-260,1,08:40,-160,-80,-20
13:00,-130,7,13:00,-178,-90,28
08:30,-290,1,08:30,-160,-80,-20
09:20,-60,61,09:20,-180,-90,-20
10:40,-190,11,10:40,-180,-100,-24
12:10,-110,17,12:10,-190,-100,-10
15:40,-100,2,15:40,-188,-105,9
11:00,-120,32,11:00,-190,-100,-10
11:50,0,4,11:50,-180,-95,0
10:40,-170,6,10:40,-180,-100,-24
08:50,-140,40,08:50,-160,-80,-20
09:10,-180,18,09:10,-180,-90,-20
08:50,20,10,08:50,-160,-80,-20
12:10,-30,8,12:10,-190,-100,-10
11:10,-30,7,11:10,-190,-100,-10
10:20,-10,25,10:20,-180,-90,-10
10:00,-30,29,10:00,-170,-90,-10
10:00,-190,8,10:00,-170,-90,-10
09:50,-170,23,09:50,-180,-80,-20
11:00,-130,25,11:00,-190,-100,-10
11:20,40,4,11:20,-180,-100,0
09:10,-120,39,09:10,-180,-90,-20
14:50,40,1,14:50,-136,-60,82
10:00,-130,45,10:00,-170,-90,-10
09:50,-120,45,09:50,-180,-80,-20
10:20,-260,6,10:20,-180,-90,-10
10:10,-100,35,10:10,-180,-90,-20
07:20,-60,76,07:20,-140,-60,-20
15:20,-110,2,15:20,-138,-90,14
07:40,-150,17,07:40,-140,-70,-20
12:10,-60,14,12:10,-190,-100,-10
06:40,-40,50,06:40,-100,-50,-20
07:20,20,1,07:20,-140,-60,-20
07:00,-270,1,07:00,-130,-60,-20
06:50,-90,22,06:50,-120,-60,-20
10:20,-190,10,10:20,-180,-90,-10
16:40,-190,1,16:40,-184,-100,105
06:20,-90,8,06:20,-90,-40,-20
10:20,-150,22,10:20,-180,-90,-10
09:50,-30,38,09:50,-180,-80,-20
12:00,-30,6,12:00,-204,-100,10
14:10,-160,3,14:10,-217,-100,-1
07:40,-20,52,07:40,-140,-70,-20
10:30,-90,32,10:30,-181,-90,-10
10:20,-40,32,10:20,-180,-90,-10
10:30,-160,14,10:30,-181,-90,-10
08:00,-140,20,08:00,-160,-70,-20
13:00,230,1,13:00,-178,-90,28
12:10,80,2,12:10,-190,-100,-10
07:10,-440,1,07:10,-130,-60,-30
13:30,-160,1,13:30,-176,-90,40
10:40,-60,37,10:40,-180,-100,-24
11:30,-10,7,11:30,-190,-100,-10
09:20,20,8,09:20,-180,-90,-20
09:50,-210,17,09:50,-180,-80,-20
