bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
08:50,-90.0,35,08:50,-80.0,-20.0,20.0
07:00,-50.0,15,07:00,-70.0,-20.0,20.0
08:50,0.0,271,08:50,-80.0,-20.0,20.0
09:20,-110.0,20,09:20,-80.0,-20.0,30.0
10:20,-30.0,163,10:20,-85.0,-20.0,40.0
09:20,-120.0,21,09:20,-80.0,-20.0,30.0
13:00,-190.0,1,13:00,-80.0,-10.0,91.0
08:20,-90.0,20,08:20,-80.0,-20.0,20.0
08:10,-220.0,3,08:10,-80.0,-20.0,20.0
09:40,30.0,82,09:40,-90.0,-20.0,30.0
10:50,10.0,95,10:50,-84.0,-20.0,40.0
10:00,10.0,128,10:00,-80.0,-20.0,40.0
09:10,-20.0,213,09:10,-80.0,-20.0,30.0
12:40,-30.0,32,12:40,-90.0,-10.0,90.0
11:50,50.0,25,11:50,-90.0,-10.0,60.0
09:50,30.0,89,09:50,-80.0,-20.0,30.0
13:20,30.0,16,13:20,-99.0,0.0,90.0
08:10,-30.0,138,08:10,-80.0,-20.0,20.0
08:40,30.0,78,08:40,-80.0,-20.0,20.0
12:40,-10.0,29,12:40,-90.0,-10.0,90.0
09:00,30.0,81,09:00,-90.0,-20.0,20.0
08:00,-110.0,8,08:00,-73.0,-10.0,20.0
10:20,-60.0,91,10:20,-85.0,-20.0,40.0
13:20,120.0,3,13:20,-99.0,0.0,90.0
07:30,-50.0,29,07:30,-70.0,-10.0,20.0
10:40,50.0,37,10:40,-80.0,-20.0,40.0
11:00,-60.0,59,11:00,-90.0,-20.0,50.0
07:30,30.0,26,07:30,-70.0,-10.0,20.0
13:30,-30.0,14,13:30,-74.0,0.0,90.0
07:20,40.0,11,07:20,-70.0,-10.0,20.0
06:50,30.0,9,06:50,-70.0,-10.0,10.0
11:20,-20.0,73,11:20,-90.0,-10.0,50.0
12:00,-80.0,18,12:00,-90.0,-10.0,60.0
11:40,40.0,35,11:40,-90.0,-10.0,60.0
10:50,30.0,68,10:50,-84.0,-20.0,40.0
07:30,-10.0,126,07:30,-70.0,-10.0,20.0
10:50,60.0,28,10:50,-84.0,-20.0,40.0
12:40,-70.0,18,12:40,-90.0,-10.0,90.0
08:30,-130.0,4,08:30,-80.0,-20.0,20.0
07:20,0.0,92,07:20,-70.0,-10.0,20.0
09:20,-130.0,11,09:20,-80.0,-20.0,30.0
13:20,-50.0,12,13:20,-99.0,0.0,90.0
12:00,-10.0,63,12:00,-90.0,-10.0,60.0
12:00,60.0,18,12:00,-90.0,-10.0,60.0
13:00,100.0,9,13:00,-80.0,-10.0,91.0
09:00,-60.0,99,09:00,-90.0,-20.0,20.0
09:20,-80.0,53,09:20,-80.0,-20.0,30.0
15:00,10.0,3,15:00,-95.0,-15.0,95.0
12:00,-70.0,25,12:00,-90.0,-10.0,60.0
12:40,-130.0,9,12:40,-90.0,-10.0,90.0
12:10,-120.0,4,12:10,-80.0,-10.0,60.0
15:20,100.0,1,15:20,-92.0,15.0,143.0
11:10,-110.0,25,11:10,-95.0,-10.0,50.0
10:20,-110.0,20,10:20,-85.0,-20.0,40.0
12:00,-60.0,42,12:00,-90.0,-10.0,60.0
12:30,-10.0,32,12:30,-100.0,-10.0,70.0
12:50,50.0,16,12:50,-80.0,-10.0,80.0
11:40,-30.0,51,11:40,-90.0,-10.0,60.0
06:40,-180.0,1,06:40,-60.0,-10.0,10.0
09:10,30.0,113,09:10,-80.0,-20.0,30.0
07:50,-60.0,53,07:50,-80.0,-20.0,20.0
12:40,50.0,9,12:40,-90.0,-10.0,90.0
07:40,-100.0,15,07:40,-70.0,-10.0,20.0
07:50,60.0,4,07:50,-80.0,-20.0,20.0
11:00,-180.0,4,11:00,-90.0,-20.0,50.0
09:40,60.0,29,09:40,-90.0,-20.0,30.0
10:20,-180.0,6,10:20,-85.0,-20.0,40.0
08:30,-150.0,10,08:30,-80.0,-20.0,20.0
11:20,60.0,28,11:20,-90.0,-10.0,50.0
10:10,30.0,69,10:10,-80.0,-20.0,30.0
06:50,-20.0,52,06:50,-70.0,-10.0,10.0
12:50,-40.0,26,12:50,-80.0,-10.0,80.0
15:10,-50.0,4,15:10,-110.0,20.0,110.0
11:50,-40.0,39,11:50,-90.0,-10.0,60.0
06:10,-10.0,11,06:10,-51.0,-10.0,10.0
11:00,70.0,29,11:00,-90.0,-20.0,50.0
13:20,-160.0,4,13:20,-99.0,0.0,90.0
14:00,80.0,1,14:00,-100.0,0.0,100.0
15:20,-30.0,4,15:20,-92.0,15.0,143.0
10:10,-110.0,17,10:10,-80.0,-20.0,30.0
12:20,-80.0,20,12:20,-90.0,-10.0,70.0
07:50,-90.0,22,07:50,-80.0,-20.0,20.0
11:30,0.0,62,11:30,-90.0,-10.0,50.0
07:30,-80.0,11,07:30,-70.0,-10.0,20.0
06:20,10.0,17,06:20,-50.0,-10.0,10.0
13:30,20.0,18,13:30,-74.0,0.0,90.0
08:50,-170.0,11,08:50,-80.0,-20.0,20.0
09:10,-70.0,52,09:10,-80.0,-20.0,30.0
07:50,-150.0,3,07:50,-80.0,-20.0,20.0
10:50,-80.0,34,10:50,-84.0,-20.0,40.0
10:50,-10.0,143,10:50,-84.0,-20.0,40.0
13:20,140.0,2,13:20,-99.0,0.0,90.0
11:30,30.0,42,11:30,-90.0,-10.0,50.0
08:40,-20.0,210,08:40,-80.0,-20.0,20.0
08:20,50.0,13,08:20,-80.0,-20.0,20.0
09:50,60.0,20,09:50,-80.0,-20.0,30.0
06:50,-60.0,11,06:50,-70.0,-10.0,10.0
11:00,-150.0,10,11:00,-90.0,-20.0,50.0
11:20,110.0,5,11:20,-90.0,-10.0,50.0
12:30,-90.0,8,12:30,-100.0,-10.0,70.0
11:10,30.0,66,11:10,-95.0,-10.0,50.0
09:00,70.0,10,09:00,-90.0,-20.0,20.0
12:10,10.0,43,12:10,-80.0,-10.0,60.0
11:20,70.0,21,11:20,-90.0,-10.0,50.0
12:20,-130.0,8,12:20,-90.0,-10.0,70.0
10:10,-120.0,19,10:10,-80.0,-20.0,30.0
08:30,-50.0,86,08:30,-80.0,-20.0,20.0
12:50,100.0,5,12:50,-80.0,-10.0,80.0
08:20,10.0,141,08:20,-80.0,-20.0,20.0
08:10,-200.0,3,08:10,-80.0,-20.0,20.0
11:20,0.0,88,11:20,-90.0,-10.0,50.0
11:40,20.0,49,11:40,-90.0,-10.0,60.0
06:10,0.0,19,06:10,-51.0,-10.0,10.0
